tweet_id,text,gold_intent,label_status,notes
8550,@AppleSupport so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,device_hardware,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
32379,"Hey @115858 @AppleSupport, not sure you tested EVERYTHING when implementing the ability to switch #iCloud account emails! https://t.co/GebmTtpdCc",account_authentication,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
11110,@AppleSupport The whole phone will just crash or freeze for over a minute. It be spazzing out too like it has a ghost in it or something.,app_crash_performance,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
40539,@AppleSupport Hey! How do I permanently enable ‘Explicit’ content for Music? I have to manually enable it everytime. #AppleMusic,media_music,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
1772,"@AppleSupport iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x",ios_update,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
1770,@AppleSupport why is my home sharing not working and how do i fix it,general_support,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
30052,I am so freaking tired of my iPhone not being able to send pictures in text messaging. I have MMS turned on and I have reset my network settings. Anyone have a suggestion? @AppleSupport @115714,connectivity,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
34581,"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",notifications_messages,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
35287,@AppleSupport Phone was 😴 Apple Watch ⌚️ 👌. I was wearing during workout this a.m.  usually get all Twitter notifications,notifications_messages,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
4901,Please fix the battery issues in Ios 11! @AppleSupport @115858,battery,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
13588,Why do I need a sim card when I’m joined to the WiFi? I’m only using this phone to test websites. @AppleSupport https://t.co/xdINQXPvEX,connectivity,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
47994,@AppleSupport I already did. And I received the money back. But I'm not sure what I'm supposed to do with the songs now. Do I delete them or ?,purchase_billing,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
22994,"@AppleSupport No error messages show up. The app will not open from the dock, applications folder, or any other location.",notifications_messages,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
51647,"@AppleSupport 
Bluetooth connectivity issues after updating iOS",connectivity,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
61344,"@AppleSupport I am trying to install a free app, and it keeps asking me for billing information, and it keeps declining my billion information. I need help",purchase_billing,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
41649,@AppleSupport It is something like this that is going on: https://t.co/eruk4JvXR3   The number of messages is too much to deal with on an individual basis,notifications_messages,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
14838,@AppleSupport iOS 11 is draining the battery on my iPhone 7 twice as fast as iOS 10. Help!,battery,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
36631,@AppleSupport I just sent a dm about an accident on iTunes I need help removing the payment please.,media_music,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
740,@AppleSupport iPhone 7 Plus 😊,device_hardware,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
25423,@AppleSupport 11.1.2. I haven't tried it yet with my little Bluetooth sound bar at home but will soon.,connectivity,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
739,@AppleSupport iOS 11.0.3,ios_update,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
9221,@AppleSupport When will fix the problem with activation (error 0xE8000013)? Or your phones are now disposable?,account_authentication,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
26705,"@AppleSupport Yes thank you! So I downloaded ""Harry Styles: Behind the Album/ Behind the Music Video"" in May. And now suddenly I just can't watch it",media_music,pre_labeled_review_required,Seeded by transparent rubric; human reviewer must verify before submission.
