tweet_id,text,intent,historical_reply
1100855,@AppleSupport I have received an email saying I have ordered mobile legend in iPhone 8 plus but I have not ordered anything off you. Can you confirm that my account has not been hacked and that I have not been charged for anything.,account_authentication,@123163 We take your account security very seriously and will be happy to help. Please DM us details of the senders exact address and let us know what that is. We'll gather more details from you there. https://t.co/GDrqU22YpT
557876,@AppleSupport My iPhone keeps on turning on and off and the screen goes black but it was like it never turned off. It would go to black with the loading circle of death on the screen and then turn back on like nothing happened,device_hardware,@250308 Try using this article for support and we will go from there: https://t.co/osZOKKTalm
82026,"@116333 @115858 @AppleSupport @116333 You guys are harassing customers, sold me a faulty handset and now harassing me in replacement. Horrible service support, feeling cheated after investing 90K🤬🤬🤬",general_support,"@151817 Reach out to us via DM and fill us in on what exactly is occurring, then we can help out from there. https://t.co/GDrqU22YpT"
2179524,@AppleSupport can you confirm if there are any new text message scams please. Have received a text this morning and do not believe it to be from Apple,notifications_messages,"@638723 While we cannot confirm if there are new text message scams, if you suspect you've received one, take a look at the following article for help with identifying and reporting these types of attempts: https://t.co/LNMCdqt6fD"
2210710,"@AppleSupport Yup, I tried that too but even in safe mode, it shows the same message. 😐",notifications_messages,@260468 Are you able to boot into macOS Recovery Mode: https://t.co/dwZ2UVMxdg?
12580,@AppleSupport 11.0,general_support,@118511 We released iOS 11.1 today. Let's update to see if that helps. Here's how: https://t.co/80YRnjDFDk
92664,"Hi @AppleSupport
Pls can you explain the 8-10% discrepancy with the steps recorded daily on my AppleWatch and those logged on AppleHealth app? (See pic for just 1 example)
This error is affecting my @4987 member benefits.
Thanks https://t.co/WpyrmSbm5v",general_support,@136062 We're here for you. Try the steps in this article and let us know if the issue continues: https://t.co/6mOJlRrZ8K
206656,@AppleSupport iPhone 7+ iOS 11.0.2 the vehicle is a Ram w/the Uconnect system! thx,ios_update,"@164946 We'd like to gather some additional info, could you please send us a DM? https://t.co/GDrqU22YpT"
119479,@AppleSupport I keep getting this error message for about half the songs I try to play on @115948 what do I do? Thanks! https://t.co/MPGLNlA72u,notifications_messages,@142507 We'll do all we can to help out. Are these songs that were downloaded to the device for offline play or are they added to your iCloud Music Library for streaming? Has there been any change in the iTunes Store region or are you not currently physically in that region?
1582105,"@AppleSupport Yes! It does.. It’ll play a song, then i’ll open an app and the music will fade out.",media_music,"@486991 OK. You mentioned an update earlier, this update is iOS 11.1, correct? Let us know in DM. https://t.co/GDrqU22YpT"
1973892,@AppleSupport Why can’t I access my photos? It’s telling me there’s an error downloading from the photo iCloud library?,account_authentication,@422102 We're glad to help in any way we can. Please DM us and let us know which device and software version you're using. https://t.co/GDrqU22YpT
11995,@115858 @AppleSupport any suggestions???,general_support,@118359 We'd like to look at service options with you. Let's take a look at this in DM. https://t.co/GDrqU22YpT
646789,Hey @AppleSupport i just dropped my iPhone 7 Plus it fell less than 6 inches and it shattered WITH A CASE ON after i just got it fixed a couple of weeks ago I can’t afford a new screen got any help?,device_hardware,"@273617 If your screen is cracked, please be very careful. This page has pricing information: https://t.co/U85ErYSDEk
You can select ""Start a repair request"" on that page. Or, DM us which country you're located in and we'll be glad to provide service options. https://t.co/GDrqU22YpT"
453881,@AppleSupport why is my iPhone X B&amp;W?? Even pictures I take 😳 https://t.co/p1BogWDQ7I,device_hardware,@222711 We’d be glad to help with that. Let’s start by checking the Display Accommodations on the iPhone X. Let us know if this can be resolved by turning this feature off: https://t.co/9jhDyzRRXu
184135,@AppleSupport One problem after another.. 🙁 My 6S ios 11.0.3 is switching wi-fi on by itself. HOW IS THAT POSSIBLE?,ios_update,@159328 We're happy to help. This article can provide more information: https://t.co/G7BHuQFeJE
2402258,@AppleSupport Viewing messages,notifications_messages,"@232105 When you see the symbols instead of ""I"" it's likely that the person making the post has not yet installed the iOS 11.1.1 update. If you see them when you're typing messages, let us know and we'll be happy to troubleshoot with you."
453862,@AppleSupport 4th pair that stopped working. Charged last night &amp; quit working in 35 minutes at fitness center. Can I get a refund? This is infuriating! https://t.co/CkW3DRNwSY,purchase_billing,@222707 We can check into available options to get your Beats working again. Meet us in DM with your location to get started. https://t.co/GDrqU22YpT
2519486,"Getting kicked off your Wi-Fi every 5 min @AppleSupport , can't they fix this. Terrible #applesucks",connectivity,@717670 This is certainly not the behavior we want you to experience. We want to help! Can you DM us which Apple device you're using? https://t.co/GDrqU22YpT
441276,Yo @115858 @AppleSupport took my iPhone X out the box to find it like this. Absolutely disgusted and a time waste. https://t.co/2CVnOFjPCJ,device_hardware,"@219682 Thanks for reporting this to us. This is definitely something we'd like to follow up on, so shoot us a DM when you get a chance. https://t.co/GDrqU22YpT"
374225,@AppleSupport Yeah I’ve tried connecting to xfinity WiFi and my personal hotspot along with my home network and nothing,connectivity,@204726 Got it. DM us. We'll pick things up from there. https://t.co/GDrqU22YpT
1721776,"@AppleSupport Let me add that push notifications come when I’ve recently closed the app. If the time gap is say 10-15 mins, notifications do not come.",notifications_messages,"@521018 Since this began, have you been able to restart the device and toggle the notifications off and back on?"
667847,"My iPhone 7 has had horrendous battery life since upgrading to iOS 11. Upgraded to iOS 11.1.2 the other night and haven't had cell reception since. The update actually bricked my phone. Your QA is reckless, @115858 /cc @AppleSupport",battery,@279196 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT
1305650,@AppleSupport just uploaded a song I was making on GarageBand onto my iCloud and then it disappeared and is nowhere to be found. HELP!!,account_authentication,"@425111 Reach out to us via DM, then we can work with you on this from there. https://t.co/GDrqU22YpT"
336557,"@AppleSupport Ofcourse, 11.0.2 didn’t help :( Having troubles with not being able to send sms/imessage instantly from last calls menu 😔",notifications_messages,@196298 We'd like to look into this further. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT
1596647,@AppleSupport how can I cancel an active subscription? There’s no option to.,purchase_billing,@172821 We're happy to help. Take a look here: https://t.co/bOr0wYMLXU Questions? Reach our iTunes Advisors here: https://t.co/SDIe7UiyJN
437442,@AppleSupport Battery keeps getting drained.. can’t thank you enough for the latest iOS update @115858,battery,"@218886 We're here to help. To clarify, are you saying that your battery drains despite being on the charger?"
31463,"@AppleSupport Ok,I’ll give it a try",general_support,@122940 We look forward to getting an update from you in the near future.
617241,@AppleSupport why EVERYTIME I download an app do I have to sign into my Apple ID about 15 times over again before it actually starts downloading?!,account_authentication,@266441 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT
290531,@AppleSupport @115858  saben si existe algún problema en la carga de batería del celular ?? No he podido cargarlo,general_support,@185190 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
403597,@AppleSupport An iPhone SE. OS 11.0.2.,device_hardware,"@211526 Had there been any changes made to the device before this happened? Were any updates installed, or were any accounts removed?"
1062219,@AppleSupport Great response ! I know how to play music on my watch...My question was precisely about Apple Music streaming with watchOS4.1 😉,media_music,@370803 Let's meet in DM to continue. https://t.co/GDrqU22YpT
118016,@AppleSupport You have to go into your photos folder to delete pictures/videos now. You can go into your camera and delete them anymore? https://t.co/iGCzdiLxRL,device_hardware,@142163 Our Photos team can help look into this with you. You can reach out to them here to get this sorted out:  https://t.co/IBIY3vMgPj
247104,@AppleSupport And still the iOS Podcasts app fails to download all unplayed episodes even when it is set to do so.,media_music,@174699 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT
1474156,"@AppleSupport Hi, how can I set up Family iCloud? I cannot add payment card on my account",account_authentication,"@462205 Thanks for reaching out. To clarify. Are you looking to set up Family Sharing? If so, check out this link: https://t.co/7ud494bBnO"
206645,@AppleSupport Yes. These are one's I made on my own.,general_support,@164944 Let's restart the device. Sometimes it can help with issues like this. Does the issue remain?
988397,My #iphone6 on #ios1103 seems like an #android in a #iphone shell. Battery now drains even on standby! 😱 @AppleSupport,battery,@216739 We can work on this together. DM us and we'll get started. https://t.co/GDrqU22YpT
805645,"@AppleSupport @115858 Bad decision to update to ios11, my phones battery drains even if i am not using it. please fix it.",battery,@311977 That is never what we want to hear. Reach out to us in DM and let us know which iPhone you’re using. https://t.co/GDrqU22YpT
2943339,@AppleSupport my contact names have disappeared on my messages but remain in my contacts?,notifications_messages,"@813138 We want to help you attach the messages to the contact names, so let's get to the bottom of this.  When did this start?  Which device are you using?"
631843,Just got the #iPhoneX. Major problem / #bug #1: it won’t let me enter phone numbers to text / message people. Like....wut. #apple @115858 @AppleSupport #nonewfriends I guess? https://t.co/vaaIq7dW8E,device_hardware,"@160650 That's very strange that the numbers keep clearing. Let's look into why your iPhone doesn't want you to text! Is this a consistent issue or does it come and go? Also, what iOS version is installed? It's under Settings &gt; General &gt; About."
613079,@AppleSupport And this is not a new issue for my recently purchased MacBook Pro. I had overheating problem before and a large number of hardware components were replaced 😔😔😔,device_hardware,@265780 We’ve received your DM and will continue working with you there.
486171,@AppleSupport the headphones you sent with my #iPhoneX are a little janky. The right side is significantly more quiet than the left 😫,device_hardware,@230664 Let's work on resolving the issue together. Have you been able to test the EarPods on another device to see if the issue is the same?
523040,@AppleSupport my iphone keeps on shutting down,device_hardware,@240837 Thank you for reaching out. We want to look into this with you to get everything working correctly. Reach out to us in DM and let us know when you first noticed this happening please. https://t.co/GDrqU2kzhr
1590516,@AppleSupport is there a fix for this issue? Letter is I (self). Fine when typed it but changes after submission. Incoming email also.,app_crash_performance,@489014 We'd like to help. Check out https://t.co/xU1AGHStV6 for steps to address this concern and DM us if we can help further.
396118,"@AppleSupport I have to be restarting my phone about 6 times a day, or it turns itself off and it is very slow. Iphone 6 plus 64GB.",app_crash_performance,@209789 We'd be happy to look into this with you!  Does this occur with all apps or particular ones?  Let us know via DM: https://t.co/GDrqU22YpT
90683,"Beste @AppleSupport, hoe zorg ik ervoor dat foto’s en filmpjes  niet DIRECT in iCloud worden opgeslagen? Echt totaal idioot dat ik ze, twee minuten na het nemen, weer moet downloaden om ze aan iemand te versturen. Help, bitte!",app_crash_performance,@135635 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
245369,@AppleSupport I’m thinking of getting the Series 3,general_support,@158584 Nice! Our Sales Support team can best assist with pre-order questions and can be reached here: https://t.co/8yjRd1Xo0i
1957419,@AppleSupport But iTunes isn't working. And this happened earlier this summer and took 48hrs to correct,media_music,@580811 What exactly isn't working?  Is your iPhone not seen?  Do you get errors?
1434273,@AppleSupport getting white squares in notifications on series 2 watch since updating to OS4. Tried unpairing and deleting but no luck. https://t.co/Ns2Z1AxrtB,notifications_messages,@264432 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT
457222,@AppleSupport - Can you please either A) sort out #ios11 or B) replace my iPhone 7+ now that your new operating system as rendered it completely useless? All your users are complaining but no action from your end. You messed up with a buggy update at least fix it.,ios_update,@223557  We appreciate you contacting us about this situation. We always want our customers to have the best experience. Let's hop into DM and get to the bottom of this: https://t.co/GDrqU22YpT
2578691,@AppleSupport Finder/Documents folder says iCloud storage is full but it clearly isn't. https://t.co/dFaozbOHHR,account_authentication,@123845 Let's take a look into this together. Send us a DM with the version of macOS you're on and we'll go from there. https://t.co/GDrqU22YpT
364063,@AppleSupport OK thanks. with iOS 11 update my iPhone is very slow !! How do I upgrade to iOS 11.1 beta?,ios_update,@202279 We want to provide the most complete info for you. Send us a DM with what type of iPhone you have; we'll go from there. https://t.co/GDrqU22YpT
1367628,Data breach on my Apple ID today. Not sure @AppleSupport are taking it seriously enough. More angered that my pre-order was deleted also!,account_authentication,@438373 We'd like to see how we can help. Send us a DM with additional details and we'll go from there. https://t.co/GDrqU22YpT
448332,i was literally just on snapchat watching stories and i decide to text a friend and this shit happens when i open up my messages.. @AppleSupport literally what the fuck i’m scared to even restart my phone in case it deletes my texts like it did once before. fix this pls https://t.co/h85ULJBXIl,notifications_messages,@221209 Your messages are very important we know and we'll help as best we can. Is the issue mainly that you aren't seeing the names going along with the phone numbers you've seen previously?
1028438,@176402 @AppleSupport I’m sure as hell not going to buy another Apple device if this is the level Apple is stooping to.My current phone was my third purchase.,purchase_billing,"@363338 To help maintain your privacy, please contact us via DM and we can go from there. https://t.co/GDrqU22YpT"
536652,@AppleSupport hi there. I keep getting a wheel every ten seconds and it is shutting down my iPhone every ten seconds. Please advise.,device_hardware,@244355 Send us a DM and let us know if you're still having this issue. We'd like to help out. https://t.co/GDrqU22YpT
1951537,"@AppleSupport My phone shutting down by itself when it’s fully load, screen becoming frozen, unable to hear when someone’s calling...",app_crash_performance,@579572 We'd like to further review this for you. Please DM us with more details of what you see when your iPhone shuts down. https://t.co/GDrqU22YpT
440813,"@AppleSupport 11.0.2. All devices iPhone SE, iPad Pro 10.5, Watch series 2, MacBook Pro with touch bar have the latest OS updates. Called support 2wks ago",ios_update,@219589 Thanks for that info. Go ahead and reach out to us in DM and we'll be happy to look into this further. https://t.co/GDrqU22YpT
2627809,"@AppleSupport good morning, my iPad is showing a personal hotspot option even though my phone hotspot is off. And it doesn’t connect to it when I enable hotspot then tap on the personal hotspot. a fix which is to reset the network settings but it comes back every time. https://t.co/rJssEHSSNH",connectivity,@585964 We're happy to look into this with you. DM us and we can go from there. https://t.co/GDrqU22YpT
361398,@AppleSupport Yes. The Apple logo appears for a few seconds and then disappears again. Over and over and over for 3 hours now,general_support,@201581 Let's move into DM and we'll look into this a bit further. https://t.co/GDrqU22YpT
90634,@AppleSupport Again https://t.co/XmQ6ATkDu2,general_support,"@135619 We'll do all we can to help. To get started, let us know what iOS 11 version is currently installed via DM: https://t.co/GDrqU22YpT"
90664,@AppleSupport hello my iPhone is a couple of months old and has started randomly switching itself off. I’ve managed to turn it on using a power source but there’s 40% battery. Any advice?,battery,@135630 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you together. https://t.co/GDrqU22YpT
373676,@AppleSupport 1.13 GB. I am not sure what iOS 11 beta is,ios_update,@204554 Let's look into this further. DM us and we'll continue. https://t.co/GDrqU22YpT
774262,So @118721 has been charging my account twice a month for @115948 for the last 4 months and I’m just noticing smh!😡@AppleSupport,battery,@304960 Thanks for reaching out. For billing issues with Apple Music reach out to our iTunes support here: https://t.co/SDIe7UiyJN
286388,@AppleSupport When do you get software fixes for iPhone 6 you have to do it very urgently,device_hardware,@184228 We want to be sure we're understanding what you're encountering. Please join us in DM. https://t.co/GDrqU22YpT
2150293,"@AppleSupport I’ve got a Series 3 watch (cellular), running watchOS 4.1.",connectivity,"@631965 Let's make sure everything is set up correctly, using this article: https://t.co/MQdkNOBC7a DM us if the issue persists. https://t.co/GDrqU22YpT"
389356,"@AppleSupport I updated to iOS 11.1 and now I’m unable to connect to my car’s Bluetooth. Restarted my phone, turned Bluetooth off and on again, and still nothing",ios_update,@208148 We'd like to help. DM us if you can pair with other Bluetooth devices and we'll continue support there. https://t.co/GDrqU22YpT
704470,"@AppleSupport I have an iPhone for work that was brand new, sealed in the box with the plastic when I received it. It's now saying someone used find my iPhone and it wants a password to use it? Lots of Import work information I can't access now. #Help ?",account_authentication,@288340 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT
325464,@AppleSupport It also doesn’t let me bring up the control centre or multi tasking when it is stuffing up.,general_support,@193525 Join us in DM and we'll continue to work on this there. https://t.co/GDrqU22YpT
22994,"@AppleSupport No error messages show up. The app will not open from the dock, applications folder, or any other location.",notifications_messages,@121005 When did you start to see this happening? Have you tried safe mode yet? If not here's how: https://t.co/PQ4LSYhUTY
2279166,@AppleSupport Is there a reason why you guys try to charge $100 dlls every time I use a credit card on my iTunes account?,account_authentication,@378760 Our iTunes Store Support team would best be able to assist you with that. You can contact them here:  https://t.co/SDIe7UiyJN
1295129,@AppleSupport I am also having issues with Apple Music. My family can’t access our family share #applemusic,media_music,@422766 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L
1834073,@AppleSupport can you please tell me why my iCloud storage is full with 1 item in 😩 https://t.co/ff6Ocj1AU7,account_authentication,"@550150 Having space for your stuff is important, and we want to make sure we get this solved. Could you join us in DM to start? https://t.co/GDrqU22YpT"
229198,@AppleSupport this Siri is troubling me out every now and then .. please resolve https://t.co/uxSaJtqO8F,general_support,@170659 We'd love to help you with Siri! Which version of iOS are you using under Settings &gt; General &gt; About? Is there screen damage?
336625,@AppleSupport Apple Pay Not Working in my 8+. Help Plz https://t.co/I05TgvIZYd,general_support,@201683 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
327105,"iPhone 6, 6S and 7 still crashing with iOS 11.0.2 @AppleSupport",ios_update,@193954 That’s not what we expect. Can you start by letting us know more about what you’ve seen via DM? https://t.co/GDrqU22YpT
879323,"To heck with this new Apple update, my battery dies so fast now and my 6+ is only a year old!! @115858 @AppleSupport",battery,@328753 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1290470,@AppleSupport why can’t eye type the letter eye on any apps except my messages ? It keeps changing the letter eye to a box . HELP ME .,app_crash_performance,@421784 Thanks for contacting us. We'd like to take a look into this. Let's met in DM. https://t.co/GDrqU22YpT
2304252,@AppleSupport I forgot my Apple ID,account_authentication,"@668584 If you forgot the email address you use as your Apple ID, here's some steps you can try to find it: https://t.co/buxNpfhIIM"
520256,"@AppleSupport Blank screen with a rotating wheel. Followed by unlock screen. No temp warning, just hot to the touch. Abnormal.",device_hardware,"@240072 Let's move our conversation to DM where we can learn a bit more about your iPhone, and when this behavior began. We'll work together to plan the best next steps from there. https://t.co/GDrqU2kzhr"
955692,@AppleSupport Does FaceTime work in Syria?,notifications_messages,@346744 FaceTime is not currently available in Syria. Check out this article for more information: https://t.co/MK7HMEoMf2
35343,"@AppleSupport Thanks for getting back to me. I have Windows 10 &amp; the latest version of iTunes, which updated this morning just before I did the sync.",ios_update,@123704 Thanks for letting us know. Check out this article for troubleshooting: https://t.co/czNgyf4Rgl DM us if the issue persists. https://t.co/GDrqU22YpT
60309,I️ updated my phone and this shit still not working ! @AppleSupport,ios_update,@123990 DM the country or region where you are located to continue. https://t.co/GDrqU22YpT
787448,@AppleSupport iPhone 7 Plus. This is the 3rd time I’ve seen it. Restart hasn’t worked. Also saw it with 11.0.1,device_hardware,@307838 We want to get things working smoothly for you. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT
436443,@AppleSupport Ever since I downloaded IOS 11.0.3 my notifications don’t work.,ios_update,@218645 You're in the right spot. Are all notifications experiencing issues or just certain ones?
1930570,"Apparently, even though I own the physical CDs and imported them into my iTunes library, once I used Apple Music they were all replaced with downloads and once my sub was up I couldn’t listen to any of my CD imports. What gives @AppleSupport",media_music,"@574480 We know how important your music is; we'll do all we can to help. To get started, let us know in DM if you use iTunes Match: https://t.co/GDrqU22YpT"
1311459,"Updated to iOS 11.0.2 and my phone battery drained so fast! 🤦🏻‍♀️ Much more worst than previous..

@AppleSupport",battery,@426451 Your battery life is certainly important! Which iPhone is this issue happening with? Let us know in DM. https://t.co/GDrqU22YpT
620162,"@AppleSupport Hi @AppleSupport, I changed the battery of my iPhone and seems that it solved the problem. Thanks for your kind help. Cheers.",battery,@267188 We are glad that you are all set.  Reach out again if you need further assistance.
944354,"@AppleSupport since iPad iOS upgrade,keyboard unstable....lags or double taps on letters. why release upgrades less than perfect? #annoying",app_crash_performance,@343919 We'd love to help! Which iOS version are you using exactly? Is this happening with your software keyboard only?
2801469,@AppleSupport I upgraded iMac to Sierra and now no admin passwords are accepted for login to the OS. Can you help? It's essentially bricked at this point,account_authentication,@781516 We understand you need to get logged in. Are you using an Apple ID account to sign in? https://t.co/QnMgELDQi7
652940,@275254 @AppleSupport I’ve got 11.1.2 &amp; it still occurs on my iPhone 6S &amp; iPhone X so I feel it’s S/ware,device_hardware,@275253 We'd like to look into this. DM us and we'll go from there. https://t.co/GDrqU22YpT
2558653,@AppleSupport Anytime I try to send a SMS message it wont send. What can I do to fix it?,notifications_messages,@417429 What's the error message that you see when you try to send a picture message?
2901929,"@AppleSupport Instead every service on the iPhone an iCloud service though? And if I disable all of the services won't that disable sync across my Apple devices?

Should be an easy fix to pass up to the Devs. Google &amp; Dropbox handle storage notifications better as an example",account_authentication,"@803780  Our iCloud services allows you to use great services like continuity, backup and syncing of your Apple products. You can read more about our iCloud services here: https://t.co/FYFN66PuNk
You can feel free to provide your feedback here: https://t.co/eTPVYVFyd8"
5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,ios_update,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?
2477629,"@AppleSupport I get a notification showing my iCloud storage is almost full. How do I see the contents of iCloud, I login via my computer but can't see the contents.",account_authentication,@207744 Hey there. We'll be happy to see how we can help with this. Check out this article for how to manage your iCloud storage: https://t.co/7vNd2QAL5s
148105,is anyone else’s apple music not allowing them to play “is your love enough” by @132161? Getting hella annoyed here 😩 @AppleSupport https://t.co/iTY2D8rjPX,media_music,@149687 You've come to the right place for help with Apple Music. If you force the app to quit and try again are you able to play the song? Here's how: https://t.co/RqqIctrDWV
905394,@AppleSupport From iTunes app on macOS,media_music,@301700 Thank you for confirming. Our best resource will be our iTunes Store team. You can contact them here: https://t.co/SDIe7UiyJN
62279,@AppleSupport why isn’t the weather’s widget not working no more? (Even since iOS 11.1) https://t.co/XLQNCFXKDO,ios_update,@130266 We want to look into this with you to be sure it's working as expected. What seems to be happening? Have you restarted?
801068,"@AppleSupport Yes, I am using from Control Center and it is causing a lot of inconvenience and battery drainage, can you do anything about it",battery,@310887 We recommend optimizing your settings for better performance. Please report back with the result. https://t.co/TpjqFp3jxD
1402934,@AppleSupport @446179 Everytime I listen to music and go to another app the music always malfunction and stops playing🤦🏻‍♂️,media_music,@446180 We'd like to help. What iOS version are you on?
486289,Is anyone else’s iPhone not letting any apps access photos or camera?? Just me?? @115858 @AppleSupport what’s going on 🤔,device_hardware,"@230700 We got your DM, and we will respond to you there."
1060534,"@AppleSupport @370393 Iphone 7 iOS 11.0.3,battery performance is less than previous version",battery,@370392 We can help with battery life. Have you used the steps in this article: https://t.co/TpjqFp3jxD
666266,Just paid $15 for an email iTunes gift card and when I try to use the gift card it won't let me?? @AppleSupport,media_music,@278730 We certainly want you to enjoy you to be able to access and download your favorite Music. Let's get you to our iTunes Store Support team for help here: https://t.co/SDIe7UiyJN
322346,@AppleSupport I have a iPhone 7 but no Portrait Mode ?! https://t.co/8Oy50pFzBz,device_hardware,@190824 We're glad you reached out. Which iOS version are you running? What happens when you try to use Portrait mode?
250091,"@AppleSupport Yes, it does. I’m on 11.0.2. I can send you a screen record via direct message to show how it replicates",device_hardware,@175422 That would be terrific. You can send us a DM via this link: https://t.co/GDrqU22YpT
2699831,@AppleSupport My music will only play for a second and then won’t play any more.,media_music,@758477 We've got some questions to help us isolate the issue. Is this happening with streaming or downloaded music? Which iOS version are we working on? You'll find that in Settings &gt; General &gt; About. Please DM us. https://t.co/GDrqU22YpT
588132,"@AppleSupport my iphone 6s keeps reiniciating every 5 minutes, what’s going on??? #annoying #Apple #iphone6s",device_hardware,@258985 Hello and thanks for reaching out. Can you clarify what you mean by reiniciating?
326393,@AppleSupport Also in trouble with the Now playing app that remains on the watch even when I’m not playing music or watching a Netflix movie on my iPhone,device_hardware,@193757 We'd like to help so you can enjoy the watch and iPhone. Let's start by gathering the OS versions on the watch and iPhone.
